ID;Name;Geschlecht;Entdecken;Anlass;Jahreszeit;Dufttyp;Beschreibung;Link
106;106 Rebel Icon;Unisex;Trends;Ausgehen, Freizeit, Date;Frühling, Sommer, Herbst, Winter;Würzig, Süß, Ledrig, Cremig, Holzig;Ein intensiver, dekadenter Amber-Leder-Duft, der die Sinne verführt und Sehnsüchte wahr werden lässt.;https://www.chogangroupspa.com/product_referral/3696/ROD2B753D
110;110 Mystic Spell;Unisex;Topliste;Ausgehen, Freizeit, Date;Herbst, Winter, Frühling;Süß, Fruchtig, Blumig, Frisch;Ein sinnlicher Unisexduft mit Fruchtigen, sandigen Noten, Maiglöckchen, Moschus und Hölzern.;https://www.chogangroupspa.com/product_referral/8777/ROD2B753D
111;111 Ruby Love;Unisex;Topliste;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Fruchtig, Süß, Gourmand;Ein komplexer Duft aus Süßer Kirsche, Likör, Bittermandel, türkischer Rose, Jasmin und einer warmen, Würzigen Basisnote.;https://www.chogangroupspa.com/product_referral/4414/ROD2B753D
112;112 Riviera;Unisex;-;Arbeit, Freizeit;Frühling, Sommer;Frisch, Zitrus, Blumig, Aquatisch;Ein Frischer, spritziger Duft mit zitrischen, aromatischen und Blumigen Akkorden, der an die italienische Küste erinnert.;https://www.chogangroupspa.com/product_referral/4415/ROD2B753D
114;114 Desert Whisper;Unisex;Topliste, Trends;Ausgehen, Date;Herbst, Winter;Rauchig, Orientalisch, Ledrig, Holzig, Würzig;Ein Duft, der mit Orientalischen Noten und Agarholz die Stärke und Mystik ferner Dünen entfaltet.;https://www.chogangroupspa.com/product_referral/8779/ROD2B753D
117;117 Velvet Smoke;Unisex;Topliste, Trends;Ausgehen, Date;Herbst, Winter;Gourmand, Würzig, Süß, Rauchig, Orientalisch;Ein opulenter, warmer Duft mit Würzigen Noten, Tabakblüte, Tonkabohne, Kakao und Vanille.;https://www.chogangroupspa.com/product_referral/6771/ROD2B753D
118;118 Scarlet Fire;Unisex;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Süß, Blumig, Würzig, Holzig;Ein intensiver, Blumiger Duft mit Jasmin, Ambergris und Zedernholz, der die Haut sinnlich umhüllt.;https://www.chogangroupspa.com/product_referral/6808/ROD2B753D
124;124 Everlasting;Unisex;-;Ausgehen, Freizeit, Date, Allrounder, Arbeit;Frühling, Herbst, Winter;Würzig, Süß, Gourmand;Ein außergewöhnlicher, grenzenloser Duft mit tiefem, dunklem Charakter, der das Werden und Vergehen der Zeit einfängt.;https://www.chogangroupspa.com/product_referral/6954/ROD2B753D
125;125 Mediterraneo;Unisex;-;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Blumig, Frisch, Grün, Aquatisch;Ein Duft, der die italienische Küste mit Zitrusnoten, Orangenblüten, Jasmin und Maiglöckchen heraufbeschwört.;https://www.chogangroupspa.com/product_referral/7394/ROD2B753D
126;126 Lumière Dorée;Unisex;Topliste;Ausgehen, Freizeit, Date, Arbeit, Allrounder;Frühling, Sommer;Blumig, Süß, Cremig, Frisch, Pudrig;Ein Duft, der an sonnige Inseln erinnert, mit Würzigen Kardamom- und Pfeffernoten, Blumigem Jasmin und Ylang-Ylang.;https://www.chogangroupspa.com/product_referral/6767/ROD2B753D
127;127 Agar Forest;Unisex;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Würzig, Holzig, Harzig, Orientalisch;Ein exotisches Parfüm mit Agarholz, Szechuanpfeffer, Kardamom und warmen Hölzern, abgerundet von Vanille.;https://www.chogangroupspa.com/product_referral/6765/ROD2B753D
128;128 Sugar Poison;Unisex;-;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Würzig, Süß, Gourmand, Cremig;Ein verführerischer Duft mit Frischen Zitrusnoten, Rum, Myrrhe, Blumigen Nuancen und reichhaltigen Noten von Kaffee.;https://www.chogangroupspa.com/product_referral/6769/ROD2B753D
129;129 Chlorophyll;Unisex;Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Sommer;Süß, Fruchtig, Frisch;Ein Duft, der Frische mediterrane Fruchtige Noten mit sinnlichem Amber und Vanille verbindet.;https://www.chogangroupspa.com/product_referral/7125/ROD2B753D
130;130 Oceanic Pulse;Unisex;-;Ausgehen, Freizeit, Date;Frühling, Sommer, Herbst;Aquatisch, Würzig, Frisch, Holzig;Ein Duft, der die Schönheit und Kraft des Meeres einfängt, mit Süßen, Würzigen, sonnigen und salzigen Noten.;https://www.chogangroupspa.com/product_referral/7419/ROD2B753D
134;134 Orange Nectar;Unisex;-;Ausgehen, Freizeit, Date;Frühling, Herbst, Sommer;Süß, Fruchtig, Gourmand, Würzig;Ein warmer, Fruchtiger Duft mit Pfirsich, Jasmin, Rum und Cognac, abgerundet von Patschuli, Sandelholz, Vanille und Tonkabohne.;https://www.chogangroupspa.com/product_referral/7435/ROD2B753D
135;135 Mystic Forest;Unisex;-;Ausgehen, Freizeit, Date, Arbeit, Allrounder;Frühling, Sommer, Herbst, Winter;Würzig, Süß, Pudrig, Holzig;Ein geheimnisvoller Duft voller Kontraste, der Energie, Sinnlichkeit und Charme verleiht, mit eleganter Iris.;https://www.chogangroupspa.com/product_referral/7521/ROD2B753D
137;137 Sicilian Garden;Unisex;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Zitrus, Würzig, Süß, Gourmand, Cremig;Ein üppiger Duft, der Tradition und Moderne vereint, mit Zitrus-, Würz- und Blumennoten.;https://www.chogangroupspa.com/product_referral/7661/ROD2B753D
138;138 Woodland;Unisex;-;Ausgehen, Freizeit, Date, Arbeit, Allrounder;Frühling, Herbst, Winter;Süß, Blumig, Holzig, Cremig, Fruchtig, Orientalisch;Ein sinnlicher Unisex-Duft mit Süßen Sandelholznoten, Holzigen, amberartigen und Blumigen Akkorden.;https://www.chogangroupspa.com/product_referral/7676/ROD2B753D
139;139 Sahara Blush;Unisex;-;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Blumig, Holzig, Würzig, Orientalisch, Süß;Ein Frischer, intensiver Rosen-Duft, der florale Akkorde mit der sinnlichen Intensität von Agarholz vereint.;https://www.chogangroupspa.com/product_referral/7965/ROD2B753D
141;141 Sands of Time;Unisex;-;Ausgehen, Date;Herbst, Winter;Fruchtig, Orientalisch, Süß, Würzig, Holzig;Ein facettenreicher Unisex-Duft, der mit Fruchtigen, Würzigen und Holzigen Akkorden den Zauber Orientalischer Nächte einfängt.;https://www.chogangroupspa.com/product_referral/8421/ROD2B753D
142;142 Dark Eclipse;Unisex;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Würzig, Süß, Ledrig, Rauchig, Holzig;Ein intensiver Unisex-Duft mit Ledrigen Noten, der den Wilden Westen und den Geist der Cowboys einfängt.;https://www.chogangroupspa.com/product_referral/8493/ROD2B753D
143;143 Sweet Dust;Unisex;-;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Cremig, Süß, Holzig, Pudrig, Gourmand;Verspielt und lebendig – ein Duft für Liebhaber Süßer, lebhafter Aromen. Mit Vanille und köstlichen Gourmand-Noten.;https://www.chogangroupspa.com/product_referral/8651/ROD2B753D
144;144 Creamy Dream;Unisex;-;Ausgehen, Freizeit, Date;Herbst, Winter, Frühling;Cremig, Süß, Gourmand;Ein Duft wie eine sanfte Umarmung, mit intensiven, Gourmandigen Noten, die an die Cremigkeit von Milch erinnern.;https://www.chogangroupspa.com/product_referral/8863/ROD2B753D
EVENT22;EVENT22 Èdition Europe;Unisex;Topliste, Trends;Ausgehen, Freizeit, Date, Allrounder, Arbeit;Frühling, Herbst, Winter;Blumig, Würzig, Holzig, Pudrig, Orientalisch;Ein innovativ Orientalischer Duft, der mit der Zartheit von Rosenblüten und der Intensität von Frisch gemahlenem Kaffee die Sinne verwöhnt.;https://www.chogangroupspa.com/product_referral/7462/ROD2B753D
APOLLO;APOLLO (Limited Edition);Mann;Topliste, Trends;Allrounder, Freizeit, Arbeit, Date, Ausgehen;Frühling, Herbst, Sommer;Holzig, Würzig, Zitrus, Grün, Harzig;Ein strahlend-aromatischer Duft, der Vitalität und Eleganz vereint. Frische Zitrusnoten treffen auf edle Harze.;https://www.chogangroupspa.com/product_referral/9923/ROD2B753D
ERMES;ERMES (Limited Edition);Mann;Topliste, Trends;Freizeit, Arbeit;Frühling, Herbst;Holzig, Würzig, Frisch, Erdig, Zitrus;Ein dynamischer, holzig-würziger Duft, der List, Bewegung und Freiheit verkörpert.;https://www.chogangroupspa.com/product_referral/9913/ROD2B753D
ZEUS;ZEUS (Limited Edition);Mann;Topliste, Trends;Freizeit, Ausgehen, Date;Winter, Herbst;Würzig, Holzig, Orientalisch, Süß, Rauchig;Ein intensiver, würzig-holziger Duft, der Stärke und Autorität ausstrahlt. Warme Gewürze und Rum treffen auf Tabak.;https://www.chogangroupspa.com/product_referral/9933/ROD2B753D
1;1 Prestige for Him;Mann;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Würzig, Süß, Orientalisch, Holzig;Ein humorvoll-sinnlicher Duft mit Frischen, Würzigen und Fruchtigen Noten, Blumigen Akzenten und warmen Hölzern.;https://www.chogangroupspa.com/product_referral/8753/ROD2B753D
2;2 Deep Blue;Mann;Topliste, Trends;Allrounder, Freizeit, Arbeit;Frühling, Sommer;Zitrus, Aquatisch, Frisch;Ein Frischer, raffinierter Duft, inspiriert von Pantelleria, der mit mineralischer Frische die Begegnung von Meer und Fels einfängt.;https://www.chogangroupspa.com/product_referral/8755/ROD2B753D
3;3 Fireborn;Mann;Topliste, Trends;Ausgehen, Freizeit, Date;Frühling, Herbst, Winter;Würzig, Süß, Ledrig, Rauchig, Holzig, Orientalisch;Ein Duft voller Widersprüche: Frisch und doch kraftvoll, wie die Begegnung von Wasser und Feuer.;https://www.chogangroupspa.com/product_referral/8906/ROD2B753D
4;4 Pure Ego;Mann;Topliste, Trends;Ausgehen, Date;Frühling, Herbst, Winter;Würzig, Süß, Holzig, Orientalisch;Ein eleganter Duft für den selbstbewussten Mann, der Stil und Gelassenheit ausstrahlt.;https://www.chogangroupspa.com/product_referral/8902/ROD2B753D
150M;150M Unbending Man;Mann;-;Ausgehen, Date;Frühling, Herbst, Sommer;Würzig, Holzig, Frisch;Ein markanter Duft mit Frischen Äpfeln und Zitrusfrüchten, Blumigen Akzenten und einer intensiven Basis aus Fichte.;https://www.chogangroupspa.com/product_referral/11083/ROD2B753D
12;12 Revenant;Mann;-;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Würzig, Holzig, Frisch, Grün;Ein zeitloser Klassiker – kühn, Frisch und intensiv. Ein Duft mit modernem Charakter.;https://www.chogangroupspa.com/product_referral/8923/ROD2B753D
15;15 Urbe;Mann;Trends;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Herbst, Winter;Zitrus, Würzig, Holzig, Orientalisch, Fruchtig;Ein von ewiger Schönheit inspirierter Duft, der verzaubert und immer wieder neue Emotionen weckt.;https://www.chogangroupspa.com/product_referral/9025/ROD2B753D
16;16 Sailor;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Herbst, Winter;Würzig, Süß, Pudrig, Orientalisch, Frisch;Ein magnetischer Klassiker, der Männlichkeit und Sinnlichkeit vereint – mit Lavendel und Süßen Vanillenoten.;https://www.chogangroupspa.com/product_referral/8757/ROD2B753D
17;17 / 152M To The Edge For Him;Mann;-;Freizeit, Arbeit;Frühling, Sommer, Herbst;Würzig, Süß, Zitrus, Frisch, Holzig;Ein attraktiver, sinnlicher Duft für den unangepassten, selbstbewussten, sexy, jungen, virilen Mann von heute.;https://www.chogangroupspa.com/product_referral/11038/ROD2B753D
18;18 Revelation;Mann;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Herbst;Würzig, Zitrus, Frisch, Holzig, Grün;Ein kraftvoller Duft mit Basilikum, Bergamotte und Grapefruit in der Kopfnote, einem Blumigen Herz aus Jasmin und Wacholder.;https://www.chogangroupspa.com/product_referral/9027/ROD2B753D
20;20 Obscuro;Mann;Topliste, Trends;Date, Ausgehen, Freizeit;Frühling, Winter, Herbst;Würzig, Süß, Orientalisch, Holzig, Frisch;Ein verführerischer Duft voller Intensität und Sinnlichkeit, geschaffen für den geheimnisvollen Mann.;https://www.chogangroupspa.com/product_referral/8759/ROD2B753D
21;21 Aqua Soul;Mann;Topliste;Arbeit, Freizeit;Frühling, Sommer;Zitrus, Frisch, Aquatisch;Ein Duft, der die zeitlose Sinnlichkeit des Mittelmeers einfängt, der ewigen Kulisse für Verführung.;https://www.chogangroupspa.com/product_referral/8894/ROD2B753D
22;22 Elemental;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommer, Herbst, Winter;Zitrus, Würzig, Holzig, Frisch, Erdig;Ein Duft, der die mythischen Elemente der Antike und der Natur erzählt – eine Reise durch Erde, Luft und Wasser.;https://www.chogangroupspa.com/product_referral/8896/ROD2B753D
30;30 Maverick;Mann;-;Date, Ausgehen, Freizeit;Frühling, Sommer, Herbst, Winter;Würzig, Süß, Gourmand, Fruchtig;Ein lebendiger, spontaner Duft mit der Energie des Rock&Roll, perfekt für den individualistischen Mann.;https://www.chogangroupspa.com/product_referral/8904/ROD2B753D
31;31 Real Man;Mann;-;Arbeit, Freizeit;Frühling, Sommer, Herbst;Frisch, Würzig, Holzig;Ein Duft, der Kraft und Frische vereint, dich vom fernen Orient in eine pulsierende Metropole mit eleganter Geschäftswelt entführt.;https://www.chogangroupspa.com/product_referral/9033/ROD2B753D
32;32 Explosive;Mann;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Würzig, Süß, Orientalisch, Holzig;Ein Duft für geheimnisvolle Männer, die Gegensätze verkörpern – charismatisch, raffiniert und sexy.;https://www.chogangroupspa.com/product_referral/9035/ROD2B753D
33;33 Nightfall;Mann;-;Allrounder, Date, Arbeit, Ausgehen, Freizeit;Frühling, Winter, Herbst;Würzig, Süß, Orientalisch, Holzig, Frisch;Ein Duft für den selbstbewussten Mann, der natürlichen Charme und fesselndes Geheimnis vereint.;https://www.chogangroupspa.com/product_referral/8761/ROD2B753D
37;37 Gentleman;Mann;-;Arbeit, Freizeit;Frühling, Sommer, Winter, Herbst;Zitrus, Würzig, Holzig, Grün, Frisch;Ein Duft, der die Welt der Herrenparfüms neu definiert – für den anspruchsvollen, entschlossenen und kreativen Mann.;https://www.chogangroupspa.com/product_referral/892/ROD2B753D
38;38 Abyss;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommer, Winter, Herbst;Zitrus, Würzig, Holzig, Frisch;Ein Duft für Männer, die sich von Konventionen befreien und ihr eigenes Schicksal bestimmen.;https://www.chogangroupspa.com/product_referral/8763/ROD2B753D
48;48 Sublime;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommer, Winter, Herbst;Zitrus, Würzig, Süß, Holzig, Frisch;Ein intensiver, Frischer Duft, der mit seinem Charme die Persönlichkeit des Trägers unterstreicht.;https://www.chogangroupspa.com/product_referral/8925/ROD2B753D
160M;160M British Charm for him;Mann;-;Arbeit, Freizeit;Frühling, Sommer, Herbst;Würzig, Holzig, Frisch, Fruchtig;Die Verkörperung des modernen britischen Geistes: elegant, leidenschaftlich, sexy und lässig.;https://www.chogangroupspa.com/product_referral/10953/ROD2B753D
52;52 Arabian Mirage;Mann;-;Allrounder, Ausgehen, Date, Arbeit, Freizeit;Frühling, Winter, Herbst;Würzig, Holzig, Süß, Harzig;Ein eleganter Duft mit einem Fougère-Akkord, der Gelassenheit und die Kraft der Verführung vereint.;https://www.chogangroupspa.com/product_referral/1333/ROD2B753D
60;60 Majesty;Mann;-;Arbeit, Freizeit;Frühling, Sommmer, Herbst;Zitrus, Holzig, Fruchtig, Frisch, Aquatisch;Ein warmer, romantischer Duft aus edelsten Essenzen, der eine märchenhafte Welt voller berauschender Düfte entfaltet.;https://www.chogangroupspa.com/product_referral/9049/ROD2B753D
61;61 Triumph;Mann;-;Arbeit, Freizeit;Frühling, Sommmer, Herbst;Süß, Fruchtig, Frisch, Aquatisch;Ein Frischer, sinnlicher Duft, der eine moderne Vision von Männlichkeit verkörpert.;https://www.chogangroupspa.com/product_referral/8765/ROD2B753D
62;62 Extreme;Mann;-;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommmer, Herbst, Winter;Würzig, Süß, Holzig, Frisch;Ein Holzig-aromatischer Duft, der die Kraft eines entschlossenen Mannes verkörpert.;https://www.chogangroupspa.com/product_referral/9051/ROD2B753D
157M;157M Aftertouch;Mann;-;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Herbst, Winter;Würzig, Süß, Holzig, Fruchtig, Ledrig;Ein Duft, der Eleganz und Verführung verkörpert – für den Mann, der seine Erfolge feiert.;https://www.chogangroupspa.com/product_referral/11098/ROD2B753D
66;66 Rock Soul;Mann;-;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Herbst, Winter;Würzig, Süß, Holzig, Harzig, Blumig;Ein Duft, der Geheimnis und zeitlose Energie ausstrahlt – ein Statement der Individualität.;https://www.chogangroupspa.com/product_referral/1459/ROD2B753D
68;68 Glory;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommer, Herbst;Zitrus, Rauchig, Holzig, Fruchtig, Frisch;Ein entschlossener, anziehender Duft, der die Kraft einer selbstbewussten Person widerspiegelt.;https://www.chogangroupspa.com/product_referral/8767/ROD2B753D
69;69 Seaside;Mann;-;Arbeit, Freizeit;Frühling, Sommer;Aquatisch, Frisch, Würzig, Grün, Holzig;Ein Duft, inspiriert vom Meer, der die Frische von Salz und Urlaub einfängt.;https://www.chogangroupspa.com/product_referral/9057/ROD2B753D
74;74 Essence Noire;Mann;Topliste;Ausgehen, Date, Freizeit;Herbst, Winter;Holzig, Rauchig, Orientalisch, Würzig, Harzig, Grün;Ein intensiver, hypnotischer Herrenduft mit Holzigen und Rauchigen Noten.;https://www.chogangroupspa.com/product_referral/1788/ROD2B753D
75;75 Xcellence;Mann;-;Ausgehen, Date, Freizeit;Frühling, Herbst, Winter;Holzig, Würzig, Grün, Blumig;Ein geheimnisvoller Herrenduft, der Moderne und Exotik vereint.;https://www.chogangroupspa.com/product_referral/1792/ROD2B753D
78;78 Extreme Purple;Mann;-;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Sommer, Herbst;Aquatisch, Frisch, Würzig, Süß;Ein maskuliner, intensiver Duft für den imposanten Mann, vereint Frische Minze, Würzigen Pfeffer und sinnlichen Moschus.;https://www.chogangroupspa.com/product_referral/1878/ROD2B753D
83;83 Uomo;Mann;-;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Würzig, Süß, Holzig, Blumig;Ein Parfüm, das die exklusive Essenz des aromatischen, Orientalischen und Holzigen Charakters verkörpert.;https://www.chogangroupspa.com/product_referral/7869/ROD2B753D
84;84 Indigo;Mann;Topliste, Trends;Arbeit, Freizeit;Frühling, Sommer, Herbst;Zitrus, Aquatisch, Würzig, Frisch;Unerbittliche Kraft und Leidenschaft, wie die Wellen des Meeres: Ein Parfüm, das mit den sinnlichen Düften des Mittelmeers überrascht.;https://www.chogangroupspa.com/product_referral/9075/ROD2B753D
86;86 Titan;Mann;-;Arbeit, Freizeit;Frühling, Sommer, Herbst, Winter;Würzig, Frisch, Süß, Holzig;Ein Duft, der die Essenz der Männlichkeit einfängt: Für den selbstbewussten Mann, der Stärke und Zartheit vereint.;https://www.chogangroupspa.com/product_referral/9079/ROD2B753D
87;87 Wildman;Mann;Topliste, Trends;Arbeit, Freizeit;Frühling, Sommer, Herbst;Würzig, Frisch, Süß, Holzig, Zitrus;Ein Duft für den mutigen, verführerischen Mann, der mit Holzigen Noten Leben, Intensität und Mut zelebriert.;https://www.chogangroupspa.com/product_referral/8898/ROD2B753D
88;88 Midnight Man;Mann;-;Ausgehen, Date;Winter, Herbst;Würzig, Süß, Holzig, Orientalisch, Ledrig;Ein kühn-Orientalischer Duft, der mit warmen, intensiven Noten die Energie und Geheimnis des Feuers verkörpert.;https://www.chogangroupspa.com/product_referral/9081/ROD2B753D
91;91 Bond;Mann;-;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Frisch, Aquatisch;Ein Frischer Duft, der Lebensfreude und Freiheit feiert, inspiriert von der Frische des Wassers und dem azurblauen Meer.;https://www.chogangroupspa.com/product_referral/9002/ROD2B753D
94;94 Revenant Intense;Mann;Topliste, Trends;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Winter, Herbst;Zitrus, Würzig, Holzig, Frisch;Dieses Parfüm verkörpert die Essenz eines Mannes jenseits von Trends und außerhalb der Zeit.;https://www.chogangroupspa.com/product_referral/8769/ROD2B753D
108;108 Emerald Meadow;Mann;Topliste, Trends;Freizeit, Arbeit;Frühling, Sommer, Herbst;Grün, Holzig, Würzig, Frisch, Aquatisch;Ein Grüner, strahlender Duft, der die Frische der irischen Landschaft mit der Eleganz eines englischen Gentlemans vereint.;https://www.chogangroupspa.com/product_referral/8892/ROD2B753D
113;113 Your Journey;Mann;-;Freizeit, Arbeit;Frühling, Sommer, Herbst;Grün, Zitrus, Würzig, Ledrig, Frisch;Ein Frischer, spritziger Duft mit Zitrusfrüchten, Pfeffer und Kräutern, abgerundet durch warme, Holzige Noten.;https://www.chogangroupspa.com/product_referral/9111/ROD2B753D
136;136 Modern Man;Mann;Topliste, Trends;Date, Ausgehen;Herbst, Winter;Blumig, Holzig, Pudrig, Süß;Ein raffinierter Duft mit Iris, Lavendel, Birne, Ambrette, Zeder und Vetiver.;https://www.chogangroupspa.com/product_referral/8900/ROD2B753D
140;140 Cupid;Mann;Topliste, Trends;Freizeit, Ausgehen, Date;Frühling, Sommer, Herbst, Winter;Zitrus, Süß, Fruchtig, Frisch;Ein Frischer, aromatischer Duft, der Kraft und Leidenschaft ausstrahlt.;https://www.chogangroupspa.com/product_referral/8771/ROD2B753D
147;147 Dark Nectar;Mann;Topliste;Freizeit, Ausgehen, Date;Herbst, Winter;Würzig, Süß, Rauchig, Ledrig, Holzig, Harzig;Ein intensiver, magnetischer Herrenduft, der Männern mit starken, charismatischen Persönlichkeiten gewidmet ist.;https://www.chogangroupspa.com/product_referral/11278/ROD2B753D
Multiverse;Multiverse Édition Futur;Mann;Topliste, Trends;Allrounder, Date, Arbeit, Freizeit, Ausgehen;Frühling, Herbst, Winter;Süß, Würzig, Gourmand, Cremig, Holzig;Ein Duft für Männer, die mutig das Unbekannte erforschen.;https://www.chogangroupspa.com/product_referral/8654/ROD2B753D
EVENT23M;EVENT23M Mystére Édition Paris;Mann;Topliste, Trends;Date, Ausgehen;Frühling, Herbst, Winter;Holzig, Blumig, Süß, Pudrig, Zitrus, Fruchtig;Ein kontrastreicher Herrenparfüm: Zitrusfrüchte und Lavendel eröffnen, Kardamom folgt in der Herznote.;https://www.chogangroupspa.com/product_referral/7905/ROD2B753D
NADIR;NADIR 10-Year Anniversary Edition;Mann;Topliste, Trends;Allrounder, Date, Arbeit, Freizeit, Ausgehen;Frühling, Herbst, Winter;Orientalisch, Würzig, Zitrus, Süß;Ein orientalisch-würziger Duft, der Stärke und Tiefe vereint.;https://www.chogangroupspa.com/product_referral/9843/ROD2B753D
AFRODITE;AFRODITE (Limited Edition);Frau;Topliste, Trends;Freizeit, Ausgehen, Date;Winter, Herbst;Blumig, Orientalisch, Süß, Cremig, Gourmand;Ein opulenter, orientalisch-blumiger Duft, der Sinnlichkeit und Verführung verkörpert.;https://www.chogangroupspa.com/product_referral/9963/ROD2B753D
ARTEMIDE;ARTEMIDE (Limited Edition);Frau;Topliste, Trends;Allrounder, Arbeit, Freizeit, Ausgehen, Date;Frühling, Herbst;Holzig, Orientalisch, Lederig, Erdig, Frisch;Ein moderner, holzig-orientalischer Duft, der Freiheit und Stärke verkörpert.;https://www.chogangroupspa.com/product_referral/9953/ROD2B753D
